source_id,designation,ra,dec,phot_g_mean_mag,bp_rp,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,duplicated_source,astrometric_params_solved,astrometric_gof_al,astrometric_chi2_al,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_sigma5d_max,ipd_gof_harmonic_amplitude,ipd_frac_multi_peak,ipd_frac_odd_win,phot_bp_rp_excess_factor
4054582477571161856,Gaia DR3 4054582477571161856,263.1727227678073,-32.9728754844716,18.555721282958984,2.960000991821289,0.9627937278599836,0.2039877325296402,2.559361219774494,0.30628305673599243,-1.7160536696499404,0.2004489302635193,0.9493299722671509,0.0,0.0,16,False,31,-1.082076072692871,227.18844604492188,242,2,0.4816902279853821,0.020825345069169998,0,0,1.512388825416565
4054584504801855232,Gaia DR3 4054584504801855232,263.2915253284762,-32.89942264389704,16.171791076660156,1.6379947662353516,0.9632386214663066,0.05395544320344925,2.6530002370763164,0.06354205310344696,-1.7845191529377769,0.04420067369937897,0.996023416519165,0.0,0.0,15,False,31,-0.054007817059755325,236.14248657226562,234,2,0.09302734583616257,0.028732744976878166,0,0,1.3575537204742432
4054587773284762880,Gaia DR3 4054587773284762880,263.58576021673383,-32.847053457556584,15.932099342346191,1.843221664428711,0.8843533124413143,0.05848298594355583,2.4597586264619826,0.05155829340219498,-1.9697281896705856,0.040100276470184326,1.0261152982711792,0.024182625114917755,0.05319662764668465,15,False,31,0.628664493560791,289.93817138671875,271,1,0.07693857699632645,0.042141638696193695,1,0,1.3153080940246582
4054613233851665280,Gaia DR3 4054613233851665280,263.59953030865086,-32.72221516248122,15.736958503723145,1.8525657653808594,0.8452322925545739,0.04909675568342209,2.5240739897612343,0.04884084686636925,-1.8339651308378677,0.03836878761649132,0.8886842727661133,0.0,0.0,16,False,31,-2.376065254211426,183.13189697265625,230,2,0.06909092515707016,0.03197811543941498,0,0,1.3157260417938232
4054582889886408064,Gaia DR3 4054582889886408064,263.2659923768314,-32.938893328421926,13.890241622924805,1.1205987930297852,0.8558239692318242,0.019333340227603912,2.658262215392483,0.024010274559259415,-1.7943400694167861,0.017292069271206856,0.9031993746757507,0.0,0.0,14,False,31,-2.0472233295440674,183.20556640625,228,0,0.034339357167482376,0.022722233086824417,0,0,1.2344506978988647
4054599897958732416,Gaia DR3 4054599897958732416,263.03159759172127,-32.80646430821237,18.27904510498047,2.621702194213867,0.8937573240522,0.16405940055847168,2.433823512320136,0.24553942680358887,-1.4679754505544218,0.15340957045555115,1.0005607604980469,0.0,0.0,15,False,31,0.04256502911448479,256.11309814453125,249,1,0.3632626235485077,0.022313805297017097,0,0,1.5303843021392822
4054614500846748160,Gaia DR3 4054614500846748160,263.7781312846451,-32.63844778675252,17.120304107666016,2.1313915252685547,0.8530455773001874,0.08851919323205948,2.3851887648226877,0.09904074668884277,-1.6016016732629863,0.07424288243055344,0.996913492679596,0.0,0.0,16,False,31,-0.04041288048028946,266.77398681640625,261,2,0.13730917870998383,0.03143743798136711,0,0,1.3828374147415161
4054576636418774400,Gaia DR3 4054576636418774400,264.02253477506974,-32.445156650822526,18.9600887298584,2.403127670288086,0.9324883598084345,0.24554163217544556,2.27384407639188,0.2770814895629883,-1.7682645215478934,0.1998366117477417,1.017138957977295,0.0,0.0,16,False,31,0.42378127574920654,289.764892578125,272,1,0.4148120582103729,0.013132994994521141,2,0,1.367741584777832
4054589628710687232,Gaia DR3 4054589628710687232,263.57806782055593,-32.74894701497777,17.107845306396484,2.401137351989746,0.9048915974360315,0.0965852290391922,2.6874476332833757,0.10309752076864243,-1.6856789556703329,0.07616698741912842,1.0310357809066772,0.0,0.0,16,False,31,0.7122830748558044,271.83514404296875,249,1,0.1508704274892807,0.20929110050201416,0,0,1.414380669593811
4054565576892701312,Gaia DR3 4054565576892701312,263.77393488996006,-32.728715737055126,16.343212127685547,1.7881345748901367,0.7823431626625739,0.05995461717247963,2.544815554858166,0.06076815351843834,-1.8163600985635244,0.045823220163583755,1.0371404886245728,0.0,0.0,17,False,31,0.8663104772567749,287.9605407714844,262,1,0.08457441627979279,0.0371486060321331,0,0,1.3176758289337158
