4053793547964747904 264.16939344  -33.03325935   0.8726   0.1792   2.5494   0.1534  -1.4952   0.1223  17.9052  18.7024  16.8916      ...      ...      ...  0.9692  0.7959  0.9793  0.7795 1  0.3832  1.7451   6.8637
4054500465190725632 263.10710918  -32.96962071   0.8005   0.6551   2.3292   1.4912  -1.5694   0.9243  20.1954  21.1001  18.8342      ...      ...      ...  0.7256  0.6985  0.9793  0.6840 1  0.2377  2.0252   6.4819
4054501599068361216 263.08486813  -32.91805440   0.9380   0.0303   2.7582   0.0395  -1.6863   0.0275  15.1189  15.7008  14.3786  13.5120  13.1030  12.9830  1.0000  0.8585  0.9793  0.8407 1  0.0103  1.4924   7.0413
4054514449600386304 263.64147648  -33.22555846   0.9889   0.0693   2.5272   0.0873  -1.8715   0.0600  16.3805  17.3455  15.3514  13.5400  12.3790  11.8880  0.9995  0.9110  0.9828  0.8953 1  0.5164  1.3103   6.8423
4054518023012382592 264.01601176  -33.15455344   0.8342   0.0295   2.7714   0.0333  -1.9067   0.0242  14.6423  15.2138  13.9147  12.9920  12.5400  12.3530  1.0000  0.6760  0.9793  0.6620 1  0.0276  1.8888   6.7166
4054523005174661376 263.80412231  -33.06386750   0.8671   0.2074   2.5731   0.2395  -1.3761   0.1396  18.1378  19.4294  17.0201  15.3560  13.7100  13.1710  0.9932  0.5969  0.9793  0.5845 0  0.5412  1.7732   7.2741
4054525513436242944 263.45322374  -33.19908288   0.9338   0.0176   2.4838   0.0242  -1.8439   0.0164  13.6906  14.0927  13.1108  12.2280  11.5280  11.1600  1.0000  0.9757  1.0000  0.9757 1  0.0012  1.5009   6.4682
4054531796954949504 263.46507918  -33.06017238   0.9641   0.0243   2.6875   0.0290  -1.7469   0.0219  14.6616  15.2611  13.9073  12.7570  12.3450  12.3170  1.0000  0.9185  0.9862  0.9059 1  0.0669  1.3943   7.0551
4054531900049210112 263.44452620  -33.06249429   0.7876   0.1719   2.6927   0.2159  -1.7781   0.1445  18.3423  19.7828  17.1928  15.6610  14.2810  13.6770  0.9902  0.9374  0.9862  0.9245 1  0.8816  2.0584   7.0837
4054532007426917760 263.44855246  -33.05835113   0.8711   0.0381   2.7322   0.0438  -1.7746   0.0308  15.6257  16.3731  14.7725  13.6180  13.0990  13.0330  1.0000  0.8771  0.9793  0.8589 1  0.0157  1.7641   6.9519
4054534167776486912 263.60978078  -33.05934737   0.8487   0.0179   2.6105   0.0223  -1.8588   0.0162  12.2124  12.3510  11.9514  11.5910  11.5210  11.4610  1.0000  0.9452  0.9793  0.9257 1  0.0000  1.8487   6.6039
4054535065432277888 263.80122546  -33.01870095   0.8029   0.3491   2.5042   0.3759  -1.4764   0.2693  18.9823  20.1249  18.0145      ...      ...      ...  0.7334  0.7731  0.9793  0.7571 1  0.5582  2.0091   6.4621
4054538982453241216 263.61509529  -32.91929375   0.8857   0.0278   2.6328   0.0253  -1.6348   0.0191  14.2672  14.7299  13.6289  12.8170  12.6120  12.6200  1.0000  0.9706  1.0000  0.9706 1  0.0005  1.7028   6.6296
4054540425549264000 263.63209554  -32.90969774   0.9778   0.3097   2.3668   0.3234  -1.7407   0.2389  18.8711  20.2616  17.7014      ...      ...      ...  0.8667  0.8488  0.9793  0.8312 1  0.6872  1.3452   6.7425
4054540730487700992 263.59371897  -32.88326085   0.8704   0.1184   2.3987   0.1021  -1.8891   0.0776  17.2086  18.5798  16.0633  14.3160  12.3540  11.6730  0.9995  0.7711  0.9793  0.7552 1  0.5316  1.7656   6.9195
